window,symbol,side,mean_selected_ret,appearances
W2,LINK/USDT,short,0.0004894910813044162,22
W2,LTC/USDT,long,0.006139819891666249,38
W2,LTC/USDT,short,0.015991414161864247,21
W2,MANA/USDT,long,-0.0063524021908100605,33
W2,MANA/USDT,short,-0.003022226753148466,26
W2,NEAR/USDT,long,0.02085173593295786,8
W2,NEAR/USDT,short,0.003984893195874288,18
W2,OP/USDT,long,-0.0012593934314964496,23
W2,OP/USDT,short,0.00684104245791612,23
W2,RUNE/USDT,long,0.008138264470265616,24
W2,RUNE/USDT,short,-0.001799427560668077,42
W2,SAND/USDT,long,0.006538323951875834,42
W2,SAND/USDT,short,0.009758752663198478,20
W2,SNX/USDT,long,0.00398500793854023,4
W2,SNX/USDT,short,-0.0026029450701197682,31
W2,SOL/USDT,long,-0.0020531179910605363,84
W2,SOL/USDT,short,0.0020516990138636196,18
W2,THETA/USDT,long,-0.012005297626329292,7
W2,THETA/USDT,short,0.02167834868294216,13
W2,UNI/USDT,long,-0.005992648805744284,17
W2,UNI/USDT,short,0.015022004307068215,10
W2,XRP/USDT,long,0.001706127770238835,55
W2,XRP/USDT,short,-0.0022017281062744302,32
W2,XTZ/USDT,long,0.0017464131250216064,48
W2,XTZ/USDT,short,0.0060291809967931015,8
W3,AAVE/USDT,long,-0.0033462784694326246,55
W3,AAVE/USDT,short,-0.012653683005948185,12
W3,ADA/USDT,long,0.0002770383092520883,35
W3,ADA/USDT,short,0.0012698354235722278,27
W3,ALGO/USDT,long,-0.018434864446924788,6
W3,ALGO/USDT,short,-0.0027106432256371557,24
W3,APT/USDT,long,-0.0017844164031759662,61
W3,APT/USDT,short,0.002861338867805102,33
W3,ARB/USDT,long,0.02267408856735702,5
W3,ARB/USDT,short,-0.009843442798861714,58
W3,ATOM/USDT,long,0.0013636409211350614,136
W3,ATOM/USDT,short,-0.06493144993102007,2
W3,AVAX/USDT,long,0.0042686061469681845,37
W3,AVAX/USDT,short,-0.0029766715242602227,44
W3,AXS/USDT,long,0.0021122655108545218,40
W3,AXS/USDT,short,0.01031811533653567,16
W3,BNB/USDT,long,0.005204599132256467,143
W3,BNB/USDT,short,0.005239781138680876,14
W3,BTC/USDT,long,0.0014940888770448798,141
W3,BTC/USDT,short,-0.00021956486241225814,3
W3,CHZ/USDT,long,-0.002016278800761876,70
W3,CHZ/USDT,short,-0.0067924528228302345,12
W3,CRV/USDT,long,-0.0028571672391468628,10
W3,CRV/USDT,short,-0.0057021201260417514,56
W3,DOGE/USDT,long,-0.0004881127337672764,20
W3,DOGE/USDT,short,-0.001792545638681178,31
W3,DOT/USDT,long,-0.00035687487433743456,54
W3,DOT/USDT,short,-0.0014102599516137905,10
W3,EGLD/USDT,long,0.002812948835503659,31
W3,EGLD/USDT,short,0.0009508950734028874,19
W3,ETH/USDT,long,-0.00026149673645942334,129
W3,ETH/USDT,short,-0.008711590176328646,3
W3,FIL/USDT,long,-0.001409785595851614,29
W3,FIL/USDT,short,0.009299470106975294,9
W3,FLOW/USDT,long,0.0029989585850375335,29
W3,FLOW/USDT,short,0.006527409182389832,29
W3,INJ/USDT,long,-0.016674763255887473,9
W3,INJ/USDT,short,0.003788220348684743,25
W3,LDO/USDT,long,0.006126446271378766,11
W3,LDO/USDT,short,-0.004882464663548091,37
W3,LINK/USDT,long,0.011678720506557203,19
W3,LINK/USDT,short,0.0019410191132246994,30
W3,LTC/USDT,long,0.0017244548103267808,79
W3,LTC/USDT,short,0.014780229182106398,11
W3,MANA/USDT,long,-0.00738230282011566,11
W3,MANA/USDT,short,-0.007915336637115682,27
W3,NEAR/USDT,long,-0.00704986976033544,7
W3,NEAR/USDT,short,0.011390411997343707,20
W3,OP/USDT,long,0.007481617788218276,5
W3,OP/USDT,short,0.003009926625643102,34
W3,RUNE/USDT,long,-0.00816921089246967,27
W3,RUNE/USDT,short,0.007022681385641295,7
W3,SAND/USDT,long,-0.010238140393668221,22
W3,SAND/USDT,short,-0.00458263310356069,12
W3,SNX/USDT,long,-0.007558374288048158,13
W3,SNX/USDT,short,-0.006425759199020735,45
W3,SOL/USDT,long,0.00408129938259273,74
W3,SOL/USDT,short,-0.005267006828290399,13
W3,THETA/USDT,long,-0.004040588921674093,5
W3,THETA/USDT,short,0.010885001549223679,15
W3,UNI/USDT,long,0.0027103640294828296,15
W3,UNI/USDT,short,0.00045041429827853317,11
W3,XRP/USDT,long,-0.002287820902241759,92
W3,XRP/USDT,short,0.002733169364289742,21
W3,XTZ/USDT,long,-0.0026075491920836157,50
W3,XTZ/USDT,short,-0.006546439526643755,25
