regime,bin,feature,pooled_ic,mean_ts_ic,rows
breadth_12h,high,iv_rv_spread,-0.00389700830151339,0.03718050552408847,26334
breadth_12h,high,oi_chg_24h,0.015121063338304637,0.007035330946448834,26334
breadth_12h,high,mom_z_24h,0.014182967416560003,0.006253986631678509,26334
breadth_12h,high,dist_from_high_24h,-0.002374671619348209,0.005180777633441202,26334
breadth_12h,high,oi_zscore,0.010676079667287352,0.002270668258713929,26334
breadth_12h,high,oi_chg_12h,0.01288265875002858,0.0022174158353995025,26334
breadth_12h,high,ret_24h,0.016562080497873274,0.0021224956792089984,26334
breadth_12h,high,residual_24h,0.01077634210138948,-0.0006842764082701212,26334
breadth_12h,high,rel_volume_cs,0.005567900930993614,-0.0013915041988873799,26334
breadth_12h,high,ls_divergence,-0.008022221519272957,-0.013629233447048509,26334
breadth_12h,high,ret_skew_168h,-0.0038074412719893247,-0.02080777438843332,26334
breadth_12h,high,ret_12h,0.012163179116094975,-0.021361327450564713,26334
breadth_12h,high,gk_vol_24h,0.011263047929682355,-0.02152502489223447,26334
breadth_12h,high,taker_cvd_12h,-0.005999627264846864,-0.021764106495155165,26334
breadth_12h,high,cum_funding_24h,-0.012028856654326297,-0.022833822321136392,26334
breadth_12h,high,taker_cvd_24h,-0.0066912003874087375,-0.02418700925676226,26334
breadth_12h,high,ret_168h,-0.004593949375486614,-0.025107660286506253,26334
breadth_12h,high,residual_12h,0.005146544221399949,-0.026212244137026733,26334
breadth_12h,high,atr_14,0.00950799826992816,-0.02853792886118989,26334
breadth_12h,high,rvol_24h,0.00389700830151339,-0.03718050552408847,26334
breadth_12h,high,rvol_12h,0.0002110815144985239,-0.048241285375409386,26334
breadth_12h,high,ret_48h,-0.011599390888665004,-0.048366697775217626,26334
breadth_12h,high,pct_coins_up_12h,,,26334
breadth_12h,high,pct_coins_up_1h,,,26334
breadth_12h,high,hour_sin,,,26334
breadth_12h,high,hour_cos,,,26334
breadth_12h,high,dow_sin,,,26334
breadth_12h,high,dow_cos,,,26334
breadth_12h,low,iv_rv_spread,0.018708484778268506,0.05202086154192974,29898
breadth_12h,low,dist_from_high_24h,0.014802963566603546,0.045313669873756436,29898
breadth_12h,low,ls_divergence,0.011039834803520387,0.00978774546849364,29898
breadth_12h,low,taker_cvd_24h,-0.00522787986007667,-0.009085675067487616,29898
breadth_12h,low,taker_cvd_12h,-0.007518651361049749,-0.01831574632571243,29898
breadth_12h,low,oi_chg_12h,-0.0140945536174597,-0.019076402194785395,29898
breadth_12h,low,oi_chg_24h,-0.01134837065836252,-0.020652619261147642,29898
breadth_12h,low,cum_funding_24h,-0.014975435223483168,-0.030092399440030105,29898
breadth_12h,low,ret_skew_168h,-0.012638021057465388,-0.03746442620866602,29898
breadth_12h,low,oi_zscore,-0.01729947165258063,-0.03795771862669105,29898
breadth_12h,low,rel_volume_cs,-0.018984572017368025,-0.040898874263819496,29898
breadth_12h,low,ret_12h,-0.01500137859257936,-0.04214170170664642,29898
breadth_12h,low,ret_24h,-0.013751105267588014,-0.04655785306652033,29898
