config,extra_feats,W1_sh,W1_sh_gr,W1_dd,W1_cost,W1_turn,W2_sh,W2_sh_gr,W2_dd,W2_cost,W2_turn,W3_sh,W3_sh_gr,W3_dd,W3_cost,W3_turn,ALL_sh,ALL_sh_gr,ALL_dd,ALL_cost,ALL_turn,delta_all
champion_31f,,0.6,1.41,-52.5,6.54,4.7,2.86,4.18,-24.5,7.14,4.7,2.03,2.96,-34.2,5.8,4.1,1.31,2.03,-52.5,19.16,4.4,
+cg_taker_imb_delta,cg_taker_imb_delta,1.09,2.14,-40.4,7.22,5.3,1.04,2.36,-44.0,8.76,6.1,2.76,3.91,-32.0,6.49,4.7,1.23,2.12,-42.1,20.71,4.9,-0.08000000000000007
+cg_taker_imb_ma3,cg_taker_imb_ma3,-0.5,0.24,-57.6,6.34,4.6,3.37,4.67,-23.4,7.12,4.7,3.13,4.15,-30.5,5.71,4.0,0.94,1.66,-59.9,19.01,4.4,-0.3700000000000001
+cg_taker_imb_cs_demean,cg_taker_imb_cs_demean,-0.45,0.35,-47.8,6.57,4.8,2.68,3.98,-23.3,7.21,4.8,3.0,3.95,-34.0,5.73,4.0,0.73,1.47,-51.5,19.21,4.5,-0.5800000000000001
