window,feature,group,is_market_level,train_mean_ts_ic,train_pooled_ic,train_market_ts_corr,rows,scan_score
W1,ret_dispersion_12h,r35a_cs_second_order,True,,,0.07903616650348858,1307473,0.07903616650348858
W1,cum_funding_24h_cs,r35a_cs_second_order,False,-0.014724530532088796,-0.0061498276634746754,,1307473,0.014724530532088796
W1,oi_chg_12h_cs,r35a_cs_second_order,False,-0.013002670293596868,-0.004947796061510298,,1307473,0.013002670293596868
W1,cs_rank_ma_5,r35a_cs_second_order,False,-0.012072835834637162,0.0027496046782496306,,1307473,0.012072835834637162
W1,taker_cvd_12h_cs,r35a_cs_second_order,False,0.01155861574108611,0.004980141103345751,,1307473,0.01155861574108611
W2,ret_dispersion_12h,r35a_cs_second_order,True,,,0.07927607431893137,1484524,0.07927607431893137
W2,cum_funding_24h_cs,r35a_cs_second_order,False,-0.015041778417692248,-0.006690472367454341,,1484524,0.015041778417692248
W2,oi_chg_12h_cs,r35a_cs_second_order,False,-0.014310033790723048,-0.0063024019007201,,1484524,0.014310033790723048
W2,cs_rank_ma_5,r35a_cs_second_order,False,-0.012163535706843915,0.001559509519557084,,1484524,0.012163535706843915
W2,taker_cvd_12h_cs,r35a_cs_second_order,False,0.009811047938453978,0.0036374591197098176,,1484524,0.009811047938453978
W3,ret_dispersion_12h,r35a_cs_second_order,True,,,0.07620506404136396,1628167,0.07620506404136396
W3,oi_chg_12h_cs,r35a_cs_second_order,False,-0.01862967862965732,-0.008429570409918964,,1628167,0.01862967862965732
W3,cum_funding_24h_cs,r35a_cs_second_order,False,-0.016468621223437552,-0.007313177470803115,,1628167,0.016468621223437552
W3,cs_rank_ma_5,r35a_cs_second_order,False,-0.01630585705161353,-0.0007889341080933001,,1628167,0.01630585705161353
W3,taker_cvd_12h_cs,r35a_cs_second_order,False,0.005468444210426494,0.0016957876180425005,,1628167,0.005468444210426494
W1,ret_168h_x_disp,r35b_interactions,False,-0.018380879481621752,-0.008005011770529138,,1307473,0.018380879481621752
W1,funding_ret_cross,r35b_interactions,False,-0.015335522900100578,-0.02467079575942465,,1307473,0.015335522900100578
W1,vol_ret_confirm,r35b_interactions,False,-0.010816225005812976,-0.0024321907685414643,,1307473,0.010816225005812976
W1,oi_ret_divergence,r35b_interactions,False,0.009967829349774747,-0.015253456694056896,,1307473,0.009967829349774747
W2,ret_168h_x_disp,r35b_interactions,False,-0.020417377850568946,-0.006886113226120902,,1484524,0.020417377850568946
W2,funding_ret_cross,r35b_interactions,False,-0.015263117791782282,-0.019889985553479733,,1484524,0.015263117791782282
W2,oi_ret_divergence,r35b_interactions,False,0.010891929720941333,-0.016737692433045633,,1484524,0.010891929720941333
W2,vol_ret_confirm,r35b_interactions,False,-0.010257209556942561,-0.002267527856746871,,1484524,0.010257209556942561
W3,ret_168h_x_disp,r35b_interactions,False,-0.022159843992799775,-0.010084591136783675,,1628167,0.022159843992799775
W3,funding_ret_cross,r35b_interactions,False,-0.01495884132404393,-0.017216234572567397,,1628167,0.01495884132404393
W3,oi_ret_divergence,r35b_interactions,False,0.012340096703726237,-0.014023055840429215,,1628167,0.012340096703726237
W3,vol_ret_confirm,r35b_interactions,False,-0.01076054773401412,-0.0016060053655953224,,1628167,0.01076054773401412
W1,ret_accel_12h,r35c_temporal,False,-0.011775685270875165,0.04348536545080834,,1307473,0.011775685270875165
W1,ret_autocorr_24h,r35c_temporal,False,0.005228013170181106,0.0037548063391633175,,1307473,0.005228013170181106
W1,vol_concentration_4of12,r35c_temporal,False,0.0031936364073101974,0.001846966356273756,,1307473,0.0031936364073101974
W1,funding_momentum,r35c_temporal,False,-0.0008710764040735593,-0.012636204378867318,,1307473,0.0008710764040735593
W2,ret_accel_12h,r35c_temporal,False,-0.011329974591056825,0.04006761797162665,,1484524,0.011329974591056825
W2,vol_concentration_4of12,r35c_temporal,False,0.0032312404459856215,0.001405539803696719,,1484524,0.0032312404459856215
W2,ret_autocorr_24h,r35c_temporal,False,0.0031717044915346676,0.0011346652307555366,,1484524,0.0031717044915346676
W2,funding_momentum,r35c_temporal,False,-0.0007295984320800157,-0.008748660377450332,,1484524,0.0007295984320800157
W3,ret_accel_12h,r35c_temporal,False,-0.01369558321769492,0.03774782004027963,,1628167,0.01369558321769492
W3,vol_concentration_4of12,r35c_temporal,False,0.0022934368664433405,0.001068185022414076,,1628167,0.0022934368664433405
W3,ret_autocorr_24h,r35c_temporal,False,0.0009638186418820807,-0.004042923157271307,,1628167,0.0009638186418820807
W3,funding_momentum,r35c_temporal,False,-0.0006638534823323543,-0.005501618867602624,,1628167,0.0006638534823323543
W1,mkt_funding_dispersion,r35d_market,True,,,0.06885297453129662,1307473,0.06885297453129662
W1,mkt_oi_extreme_pct,r35d_market,True,,,-0.047146977517320304,1307473,0.047146977517320304
W1,mkt_funding_mean,r35d_market,True,,,0.04686956259806682,1307473,0.04686956259806682
W1,mkt_funding_pct_pos,r35d_market,True,,,0.01868736875304371,1307473,0.01868736875304371
W1,mkt_oi_chg_sum,r35d_market,True,,,-0.017392287136338894,1307473,0.017392287136338894
W2,mkt_funding_dispersion,r35d_market,True,,,0.06436500481821975,1484524,0.06436500481821975
W2,mkt_oi_extreme_pct,r35d_market,True,,,-0.04358537048206176,1484524,0.04358537048206176
W2,mkt_funding_mean,r35d_market,True,,,0.04097796855233829,1484524,0.04097796855233829
W2,mkt_oi_chg_sum,r35d_market,True,,,-0.014714175537709174,1484524,0.014714175537709174
W2,mkt_funding_pct_pos,r35d_market,True,,,0.011678515160554882,1484524,0.011678515160554882
W3,mkt_funding_dispersion,r35d_market,True,,,0.06404236999898466,1628167,0.06404236999898466
W3,mkt_oi_extreme_pct,r35d_market,True,,,-0.04198924720741987,1628167,0.04198924720741987
W3,mkt_funding_mean,r35d_market,True,,,0.03686807846255369,1628167,0.03686807846255369
W3,mkt_oi_chg_sum,r35d_market,True,,,-0.011627993256363723,1628167,0.011627993256363723
W3,mkt_funding_pct_pos,r35d_market,True,,,0.006115380845018413,1628167,0.006115380845018413
