rule,W1_sh,W1_sh_gross,W1_eq,W1_cost,W1_turn,W1_dd,W2_sh,W2_sh_gross,W2_eq,W2_cost,W2_turn,W2_dd,W3_sh,W3_sh_gross,W3_eq,W3_cost,W3_turn,W3_dd,ALL_sh,ALL_sh_gross,ALL_eq,ALL_cost,ALL_turn,ALL_dd,avg_long_pool,avg_short_pool,avg_filtered_longs,delta_all_vs_baseline
baseline,0.01,0.8,72.0,6.6,4.8,-53.2,3.22,4.52,215.0,7.11,4.7,-23.5,2.5,3.47,176.0,5.51,3.9,-27.6,1.13,1.89,228.0,19.21,4.5,-54.2,33.26444444444444,33.26444444444444,17.02888888888889,0.0
quality_long_only,-0.45,0.23,59.0,5.75,4.0,-63.4,2.81,3.98,180.0,5.6,3.5,-23.6,2.17,2.9,161.0,4.23,2.7,-32.5,0.82,1.46,155.0,16.01,3.5,-65.5,16.56,33.26444444444444,17.02888888888889,-0.30999999999999994
liq30_combo35,0.15,0.87,79.0,5.42,3.7,-49.8,1.97,2.94,153.0,5.53,3.4,-29.3,1.57,2.64,127.0,4.22,2.7,-19.9,0.8,1.48,148.0,15.52,3.4,-49.8,22.163333333333334,22.163333333333334,17.02888888888889,-0.32999999999999985
liq30_plus_quality,-0.16,0.42,69.0,4.32,2.8,-48.1,1.47,2.26,131.0,4.1,2.3,-36.3,1.24,2.04,119.0,3.21,1.8,-26.2,0.62,1.15,121.0,11.7,2.3,-49.5,11.981111111111112,22.163333333333334,17.02888888888889,-0.5099999999999999
liq60_combo35,-0.42,0.26,61.0,5.38,3.7,-61.0,1.46,2.43,132.0,5.59,3.5,-34.0,2.39,3.44,151.0,4.33,2.8,-19.6,0.59,1.25,116.0,15.48,3.4,-61.0,22.316666666666666,22.316666666666666,17.02888888888889,-0.5399999999999999
