label,window,regime_col,w_low,w_high,val_sharpe,val_cost_pct
soft_r42_vs_stability,W1,btc_rvol_24h,0.2,1.0,0.03,5.79
soft_r42_vs_flow,W1,stable_supply_accel,0.0,1.0,-0.26,6.43
soft_tri,W1,btc_rvol_24h+stable_supply_accel,0.9,0.7,0.16,5.88
soft_r42_vs_stability,W2,btc_rvol_24h,0.3,1.0,2.36,6.94
soft_r42_vs_flow,W2,stable_supply_accel,0.1,0.9,1.65,6.52
soft_tri,W2,btc_rvol_24h+stable_supply_accel,0.3,0.9,1.87,6.67
soft_r42_vs_stability,W3,btc_rvol_24h,0.1,0.7,0.35,5.89
soft_r42_vs_flow,W3,stable_supply_accel,0.0,0.9,0.63,5.42
soft_tri,W3,btc_rvol_24h+stable_supply_accel,0.5,0.9,0.35,5.45
