window,horizon,feature,mean_ic,t_stat,n_weeks,abs_ic
W1,1,ret_1h,-0.059804175024302644,-5.480601168089026,25,0.059804175024302644
W1,1,ret_4h,-0.06481693736092363,-6.250421248304763,25,0.06481693736092363
W1,1,ret_12h,-0.06232690727594869,-6.54701382183438,25,0.06232690727594869
W1,1,ret_24h,-0.05141261763445224,-5.629281085034053,25,0.05141261763445224
W1,1,ret_48h,-0.0396839468776023,-4.278188869111635,25,0.0396839468776023
W1,1,ret_168h,-0.051305539501080306,-6.580069481845207,25,0.051305539501080306
W1,1,rvol_12h,0.016847957079627586,2.5078720754011985,25,0.016847957079627586
W1,1,rvol_24h,0.013921014020496175,1.964865709998797,25,0.013921014020496175
W1,1,rvol_168h,0.002454903239884611,0.6353384294454706,25,0.002454903239884611
W1,1,vol_ratio_12h,0.02294005809973024,3.550833184832665,25,0.02294005809973024
W1,1,vol_ratio_24h,0.015986702481966562,2.433654357155598,25,0.015986702481966562
W1,1,mom_z_12h,-0.06122503534915226,-6.790099054541331,25,0.06122503534915226
W1,1,mom_z_24h,-0.04672123715888327,-5.472553751098242,25,0.04672123715888327
W1,1,range_24h,0.0008169104527128053,0.21790399075320538,25,0.0008169104527128053
W1,1,dist_from_high_24h,0.05540875815251509,5.683249745344212,25,0.05540875815251509
W1,1,btc_ret_1h,-0.07197718797780733,-5.375095472917963,25,0.07197718797780733
W1,1,btc_ret_4h,-0.06424479792943921,-4.428349674341072,25,0.06424479792943921
W1,1,btc_ret_12h,-0.061048416662139726,-5.340491458108721,25,0.061048416662139726
W1,1,btc_ret_24h,-0.06258119361947952,-4.899328142239875,25,0.06258119361947952
W1,1,btc_beta_168h,0.013769456989062687,3.0739695398050193,25,0.013769456989062687
W1,1,residual_12h,-0.029149324794673914,-3.258296613480923,25,0.029149324794673914
W1,1,residual_24h,-0.019317153763215997,-2.3739089439311227,25,0.019317153763215997
W1,1,funding_rate_binance,-0.02049275819217279,-3.3941791738243503,25,0.02049275819217279
W1,1,cum_funding_24h,-0.023132613798055965,-4.673837672699875,25,0.023132613798055965
W1,1,cum_funding_72h,-0.02130828152825193,-4.285022604432105,25,0.02130828152825193
W1,1,cum_funding_168h,-0.01740385058157473,-4.378873977284328,25,0.01740385058157473
W1,1,funding_zscore,-0.00866655994899074,-1.5268406552653881,25,0.00866655994899074
W1,1,funding_x_mom_12h,-0.04203377628165449,-5.360909469154791,25,0.04203377628165449
W1,1,funding_x_mom_24h,-0.026780725212315896,-3.102060156220849,25,0.026780725212315896
W1,1,oi_value_usd,-0.011840922190614887,-3.033928209172978,25,0.011840922190614887
W1,1,taker_buy_sell_ratio,-0.026763158020939093,-3.4957005894736346,25,0.026763158020939093
W1,1,top_ls_ratio,-0.007842717400065952,-3.0715798460816988,25,0.007842717400065952
W1,1,global_ls_ratio,0.009766187050856225,3.2856919727979026,25,0.009766187050856225
W1,1,oi_chg_1h,-0.050115154838422986,-6.612999924137743,25,0.050115154838422986
W1,1,oi_chg_4h,-0.053692608310493,-5.413571664035714,25,0.053692608310493
W1,1,oi_chg_12h,-0.049162321394002936,-6.644743344369733,25,0.049162321394002936
W1,1,oi_chg_24h,-0.04097546979636864,-5.646000219072075,25,0.04097546979636864
W1,1,oi_zscore,-0.05104702006990146,-6.78210042210248,25,0.05104702006990146
W1,1,oi_ret_diverge,-0.01040420216789507,-2.157595891676951,25,0.01040420216789507
W1,1,taker_imbalance,-0.026763158020939093,-3.4957005894736346,25,0.026763158020939093
W1,1,taker_cvd_4h,-0.024306388922298597,-3.780545264714734,25,0.024306388922298597
W1,1,taker_cvd_12h,-0.02622713386680439,-5.102766020702484,25,0.02622713386680439
W1,1,taker_cvd_24h,-0.02212819441210562,-4.6674956015677775,25,0.02212819441210562
W1,1,taker_zscore,-0.025326395986493132,-3.292725779834361,25,0.025326395986493132
W1,1,top_ls_ratio_zscore,-0.01225879079661222,-2.4394805929573806,25,0.01225879079661222
W1,1,global_ls_ratio_zscore,0.00922807706972635,1.2853661006701318,25,0.00922807706972635
W1,1,ls_divergence,-0.01519284101773164,-5.956014549066474,25,0.01519284101773164
W1,1,premium_index,-0.013394893475015268,-1.8589899164218602,25,0.013394893475015268
W1,1,premium_zscore,-0.008767305900177809,-1.320422581548489,25,0.008767305900177809
W1,4,ret_1h,-0.054095127934881845,-4.203358469236663,25,0.054095127934881845
W1,4,ret_4h,-0.07366269324278589,-3.8670672649993656,25,0.07366269324278589
W1,4,ret_12h,-0.08045081179351236,-3.185470874065768,25,0.08045081179351236
W1,4,ret_24h,-0.08424171278121854,-3.5797582804330843,25,0.08424171278121854
W1,4,ret_48h,-0.0625645457213153,-4.327156536017997,25,0.0625645457213153
W1,4,ret_168h,-0.0858467139730883,-5.757079006401228,25,0.0858467139730883
W1,4,rvol_12h,0.03735576600756969,2.6023593571569394,25,0.03735576600756969
W1,4,rvol_24h,0.024044307632432194,1.6575623245083857,25,0.024044307632432194
W1,4,rvol_168h,0.002139876283437959,0.2687295029867405,25,0.002139876283437959
W1,4,vol_ratio_12h,0.04099284996528896,2.7820189443319285,25,0.04099284996528896
W1,4,vol_ratio_24h,0.025020452281192828,1.6851123235545156,25,0.025020452281192828
W1,4,mom_z_12h,-0.07797308965110256,-2.9660209858812863,25,0.07797308965110256
W1,4,mom_z_24h,-0.077509019826826,-3.4716546153572256,25,0.077509019826826
W1,4,range_24h,0.005257445032877787,0.6342266293452895,25,0.005257445032877787
W1,4,dist_from_high_24h,0.06963280140938027,2.804095738457162,25,0.06963280140938027
W1,4,btc_ret_1h,-0.05981712055916006,-4.273017825032068,25,0.05981712055916006
W1,4,btc_ret_4h,-0.07225430131333091,-2.7644999031120725,25,0.07225430131333091
W1,4,btc_ret_12h,-0.0826583937339818,-2.3804325438157616,25,0.0826583937339818
W1,4,btc_ret_24h,-0.10062046677718943,-3.0595486267998697,25,0.10062046677718943
W1,4,btc_beta_168h,0.029034583289378038,3.860870238270305,25,0.029034583289378038
W1,4,residual_12h,-0.035594784336989725,-2.3440843753277614,25,0.035594784336989725
W1,4,residual_24h,-0.02215908655369956,-1.4119902913162754,25,0.02215908655369956
W1,4,funding_rate_binance,-0.048867676897609645,-4.401179755535785,25,0.048867676897609645
W1,4,cum_funding_24h,-0.0426664192300141,-3.7026882161756083,25,0.0426664192300141
W1,4,cum_funding_72h,-0.04004090038500209,-4.435078767530546,25,0.04004090038500209
W1,4,cum_funding_168h,-0.02924503525453586,-3.7002074618649767,25,0.02924503525453586
W1,4,funding_zscore,-0.028826562573994106,-2.787638500513831,25,0.028826562573994106
W1,4,funding_x_mom_12h,-0.04663584514665391,-2.2298908920829654,25,0.04663584514665391
W1,4,funding_x_mom_24h,-0.0402955470724411,-2.0578970878482847,25,0.0402955470724411
W1,4,oi_value_usd,-0.015175987560223418,-2.122931191468552,25,0.015175987560223418
W1,4,taker_buy_sell_ratio,-0.02208025462299824,-3.182967884558071,25,0.02208025462299824
W1,4,top_ls_ratio,-0.014722479533559776,-2.9250695907477664,25,0.014722479533559776
W1,4,global_ls_ratio,0.013415700259721084,1.9713785874635357,25,0.013415700259721084
W1,4,oi_chg_1h,-0.049479409494296356,-4.122039233929462,25,0.049479409494296356
W1,4,oi_chg_4h,-0.06687593460707801,-4.351794931756479,25,0.06687593460707801
W1,4,oi_chg_12h,-0.07152774914833121,-3.2149398119467243,25,0.07152774914833121
