config,extra_feats,W1_sh,W1_sh_gr,W1_dd,W1_cost,W1_turn,W2_sh,W2_sh_gr,W2_dd,W2_cost,W2_turn,W3_sh,W3_sh_gr,W3_dd,W3_cost,W3_turn,ALL_sh,ALL_sh_gr,ALL_dd,ALL_cost,ALL_turn,delta_all
champion_31f,,0.6,1.41,-52.5,6.54,4.7,2.86,4.18,-24.5,7.14,4.7,2.03,2.96,-34.2,5.8,4.1,1.31,2.03,-52.5,19.16,4.4,
+cg_liq_imb_resid_bin,cg_liq_imb_resid_bin,-0.67,0.11,-58.8,6.39,4.6,2.69,4.0,-21.7,7.28,4.9,1.37,2.34,-41.1,5.74,4.1,0.71,1.45,-65.3,19.18,4.5,-0.6000000000000001
+cg_liq_imb_resid_roll,cg_liq_imb_resid_roll,-0.72,0.05,-58.2,6.46,4.7,2.37,3.77,-23.0,7.47,5.0,1.9,2.84,-35.5,5.65,4.0,0.61,1.34,-65.0,19.3,4.5,-0.7000000000000001
+mkt_cg_liq_imb_resid,mkt_cg_liq_imb_resid,-0.94,-0.16,-66.2,6.6,4.8,2.33,3.43,-27.6,6.85,4.5,1.89,3.03,-45.4,6.15,4.4,0.13,0.84,-68.8,19.35,4.5,-1.1800000000000002
