config,extra_feats,W1_sh,W1_sh_gr,W1_dd,W1_cost,W1_turn,W2_sh,W2_sh_gr,W2_dd,W2_cost,W2_turn,W3_sh,W3_sh_gr,W3_dd,W3_cost,W3_turn,ALL_sh,ALL_sh_gr,ALL_dd,ALL_cost,ALL_turn,delta_all
C_31f_hybrid,,0.98,1.41,-51.4,3.47,4.7,3.53,4.18,-22.6,3.52,4.7,2.52,2.96,-34.1,2.78,4.1,1.66,2.03,-51.4,9.8,4.4,0.34999999999999987
A_30f_noCG,,0.4,0.8,-49.1,3.35,4.8,3.89,4.52,-22.8,3.47,4.7,2.99,3.47,-26.7,2.74,3.9,1.51,1.89,-49.1,9.67,4.5,0.19999999999999996
B_31f_uniform,,0.6,1.41,-52.5,6.54,4.7,2.86,4.18,-24.5,7.14,4.7,2.03,2.96,-34.2,5.8,4.1,1.31,2.03,-52.5,19.16,4.4,0.0
