config,window,sharpe,sharpe_gross,equity,cost_pct,avg_turnover,max_dd_pct
unified,ALL,1.13,1.89,228.0,19.22,4.5,-54.2
asymmetric,ALL,0.54,0.96,98.0,12.15,2.4,-72.5
unified,W1,0.01,0.8,72.0,6.61,4.8,-53.2
asymmetric,W1,-1.17,-0.7,37.0,4.46,2.9,-71.4
unified,W2,3.22,4.52,215.0,7.11,4.7,-23.5
asymmetric,W2,1.8,2.36,151.0,3.78,2.0,-32.7
unified,W3,2.5,3.47,176.0,5.51,3.9,-27.6
asymmetric,W3,2.08,2.68,161.0,3.95,2.5,-39.4
