window,feature,avg_gain,gain_pct,test_mean_ts_ic,test_pooled_ic,test_rows
W1,pct_coins_up_12h,6875.065057754517,0.13637668067372236,,,87720
W1,mom_z_24h,5316.702238464355,0.10546434067478289,-0.03820706527635318,-0.014473657061388345,87720
W1,ret_24h,4866.164562988281,0.09652728594384923,-0.04532584837503618,-0.018231348376535787,87720
W1,iv_rv_spread,4408.017486953735,0.08743928794454449,0.07794976568258177,0.03581553302898948,87720
W1,cum_funding_24h,3824.069010925293,0.07585584048968534,-0.03858785175027455,-0.025013042765878346,87720
W1,gk_vol_24h,2815.1662605285646,0.05584282140319633,-0.07762453148552373,-0.035222395980024856,87720
W1,ret_skew_168h,2531.828385925293,0.05022241221100141,-0.024418750978578662,-0.00995430197523687,87720
W1,ret_168h,2323.506172180176,0.04609004520319888,-0.03968321252575164,-0.010736627981014199,87720
W1,oi_zscore,2257.5067554473876,0.04478085302758925,-0.03678300442552427,-0.017886044179614112,87720
W1,ls_divergence,1574.6955417633058,0.03123632274798127,-0.018741735502735186,-0.010560957460289948,87720
W1,oi_chg_24h,1527.0643028259278,0.030291489468864903,-0.04387733272024857,-0.023157028532067577,87720
W1,ret_48h,1409.6258224487306,0.02796193040249016,-0.0392562298216267,-0.014330898584424464,87720
W1,dist_from_high_24h,1328.0786205291747,0.02634432582382874,0.03226142967565534,0.012035348198040662,87720
W1,residual_12h,1230.0666793823243,0.02440011975629207,-0.039396736063232324,-0.013845216893300528,87720
W1,rel_volume_cs,1172.5953178405762,0.023260093668535608,-0.021292924214785684,-0.006266161788287155,87720
W1,pct_coins_up_1h,1108.5611591339111,0.02198988517730112,,,87720
W1,rvol_24h,1064.6725978851318,0.02111929322618891,-0.07794976568258177,-0.03578974638228402,87720
W1,atr_14,1061.7213203430176,0.021060750444184765,-0.08232039424181728,-0.036905139294019576,87720
W1,residual_24h,759.5592994689941,0.015066937573136482,-0.036917318683933,-0.014808856395680511,87720
W1,hour_sin,583.22320022583,0.01156906057914201,,,87720
W1,taker_cvd_24h,548.4441802978515,0.010879169319202122,-0.024278600784433734,-0.011440169218736598,87720
W1,rvol_12h,438.4509819030762,0.008697297996130596,-0.08267659585337225,-0.03902326593591436,87720
W1,taker_cvd_12h,413.8364601135254,0.008209033994287632,-0.011320369891250237,-0.007081956579946431,87720
W1,oi_chg_12h,385.13468132019045,0.007639693444287819,-0.03809139718796053,-0.018634196297711413,87720
W1,ret_12h,373.7074424743652,0.007413017930679158,-0.03927825702387189,-0.014017659088701732,87720
W1,hour_cos,214.85786209106445,0.004262010875894467,,,87720
W1,dow_sin,0.0,0.0,,,87720
W1,dow_cos,0.0,0.0,,,87720
W2,cum_funding_24h,31175.63205490112,0.17439100789315903,-0.024480390464144082,-0.010841749916826371,85569
W2,pct_coins_up_12h,23561.497187423705,0.1317988753123191,,,85569
W2,mom_z_24h,14116.402699279784,0.07896467632854606,-0.04287202921462646,-0.009355456484985232,85569
